Symptoms,Main Category,Subcategory
haemochromatosis,Condition or Disease,Metabolic
haemophilus influenzae type b,Condition or Disease,Infectious
klinefelter syndrome,Condition or Disease,Genetic
haemorrhoids,Condition or Disease,Anorectal
kidney stones,Condition or Disease,Renal
kidney infection,Condition or Disease,Infectious (Pyelonephritis)
hand disease,Condition or Disease,Musculoskeletal
haemophilia,Condition or Disease,Hematological
hepatitis a,Condition or Disease,Infectious
hepatitis b,Condition or Disease,Infectious
irritable bowel syndrome,Condition or Disease,Gastrointestinal
ibs,Condition or Disease,Gastrointestinal
hoarding disorder,Condition or Disease,Mental Health
homocystinuria,Condition or Disease,Metabolic
goitre,Condition or Disease,Endocrine
ibd,Condition or Disease,Gastrointestinal
hypothyroidism,Condition or Disease,Endocrine
idiopathic pulmonary fibrosis,Condition or Disease,Respiratory
hypothermia,Condition or Disease,Environmental
hyperthyroidism,Condition or Disease,Endocrine
hookworm,Condition or Disease,Parasitic
hyperparathyroidism,Condition or Disease,Endocrine
hughes syndrome,Condition or Disease,Autoimmune
human papillomavirus,Condition or Disease,Infectious (STI)
huntington disease,Condition or Disease,Genetic Neurological
hypoparathyroidism,Condition or Disease,Endocrine
inflammatory bowel disease,Condition or Disease,Gastrointestinal
hiv,Condition or Disease,Infectious
hirschsprung disease,Condition or Disease,GI Congenital
hepatitis c,Condition or Disease,Infectious
iron deficiency anaemia,Condition or Disease,Hematological
hereditary haemorrhagic telangiectasia,Condition or Disease,Genetic/Vascular
hereditary spastic paraplegia,Condition or Disease,Neurological
hernia,Condition or Disease,Surgical
herpes,Condition or Disease,Infectious
herpetic whitlow,Condition or Disease,Infectious (Herpes)
intracranial hypertension,Condition or Disease,Neurological
interstitial cystitis,Condition or Disease,Genitourinary
hiatus hernia,Condition or Disease,Gastrointestinal
intersex,Condition or Disease,Genetic/Reproductive
hib,Condition or Disease,Infectious
ingrown toenail,Condition or Disease,Nail
influenza,Condition or Disease,Infectious
hip dysplasia,Condition or Disease,Musculoskeletal
hydronephrosis,Condition or Disease,Renal
goiter,Condition or Disease,Endocrine
22q11,Condition or Disease,Genetic Condition
glue ear,Condition or Disease,EENT
dementia,Condition or Disease,Neurological
dengue,Condition or Disease,Infectious
diabetes,Condition or Disease,Endocrine
diabetes insipidus,Condition or Disease,Endocrine
diabetic ketoacidosis,Condition or Disease,Endocrine
diabetic retinopathy,Condition or Disease,EENT
digeorge syndrome,Condition or Disease,Genetic/Immunologic
diphtheria,Condition or Disease,Infectious
dissociative disorders,Condition or Disease,Mental Health
dehydration,Condition or Disease,Fluid/Electrolyte
diverticular disease,Condition or Disease,Gastrointestinal
dupuytren contracture,Condition or Disease,Musculoskeletal
dvt,Condition or Disease,Venous Thrombosis
dwarfism,Condition or Disease,Endocrine or Genetic
dysentery,Condition or Disease,Infectious
dyslexia,Condition or Disease,Neurodevelopmental
dysplasia of the hip,Condition or Disease,Musculoskeletal
dyspraxia,Condition or Disease,Neurological/Developmental
dystonia,Condition or Disease,Neurological
ear infections,Condition or Disease,EENT
down syndrome,Condition or Disease,Genetic
ebola virus disease,Condition or Disease,Infectious
deep vein thrombosis,Condition or Disease,Venous
cytomegalovirus,Condition or Disease,Infectious
complex regional pain syndrome,Condition or Disease,Pain/Neurological
congenital heart disease,Condition or Disease,Cardiovascular
congenital hip dislocation,Condition or Disease,Musculoskeletal
conjunctivitis,Condition or Disease,EENT (Eye)
coordination disorder,Condition or Disease,Neurological
copd,Condition or Disease,Respiratory
coronary,Condition or Disease,Cardiovascular
coronary heart disease,Condition or Disease,Cardiovascular
coronavirus,Condition or Disease,Infectious
deafblindness,Condition or Disease,Sensory
corticobasal degeneration,Condition or Disease,Neurological
craniosynostosis,Condition or Disease,Congenital Cranial
creutzfeldt jakob disease,Condition or Disease,Neurological/Infectious
crohn disease,Condition or Disease,Gastrointestinal
croup,Condition or Disease,Respiratory/Pediatric
cushing syndrome,Condition or Disease,Endocrine
cyclical vomiting syndrome,Condition or Disease,Gastrointestinal
cyclospora,Condition or Disease,Infectious
cystic fibrosis,Condition or Disease,Genetic/Multisystem
cystitis,Condition or Disease,Genitourinary
covid 19,Condition or Disease,Infectious
ectopic pregnancy,Condition or Disease,Obstetric
ectropion,Condition or Disease,Reproductive or EENT (Cervical/Eyelid)
edward syndrome (trisomy 18),Condition or Disease,Genetic
gallstones,Condition or Disease,Biliary
ganglion cyst,Condition or Disease,Musculoskeletal
gangrene,Condition or Disease,Necrosis
gastritis,Condition or Disease,Gastrointestinal
gastro oesophageal reflux disease,Condition or Disease,Gastrointestinal
gastroenteritis,Condition or Disease,Infectious
gastroparesis,Condition or Disease,Gastrointestinal
gender dysphoria,Condition or Disease,Mental Health
labyrinthitis,Condition or Disease,EENT
gallbladder cancer,Condition or Disease,Oncology
genital herpes,Condition or Disease,Infectious (STI)
german measles,Condition or Disease,Infectious
gestational diabetes,Condition or Disease,Endocrine/Obstetric
giant cell arteritis,Condition or Disease,Vascular/Autoimmune
giardiasis,Condition or Disease,Infectious
gigantism,Condition or Disease,Endocrine
gilbert syndrome,Condition or Disease,Hepatic
glandular fever,Condition or Disease,Infectious
glaucoma,Condition or Disease,EENT
glomerulonephritis,Condition or Disease,Renal
genital warts,Condition or Disease,Infectious (STI)
functional neurological disorder,Condition or Disease,Neurological
frontotemporal dementia,Condition or Disease,Neurological
foot disease,Condition or Disease,Musculoskeletal or Skin
ehlers danlos syndrome,Condition or Disease,Genetic/Connective Tissue
empyema,Condition or Disease,Respiratory or Thoracic
encephalitis,Condition or Disease,Neurological/Infectious
endocarditis,Condition or Disease,Cardiovascular
endometrial cancer,Condition or Disease,Oncology
endometriosis,Condition or Disease,Reproductive
epidermolysis bullosa,Condition or Disease,Genetic Skin
epididymitis,Condition or Disease,Reproductive
epiglottitis,Condition or Disease,EENT/Respiratory
epilepsy,Condition or Disease,Neurological
erythromelalgia,Condition or Disease,Vascular
eye cancer,Condition or Disease,Oncology
female genital mutilation,Condition or Disease,Reproductive
fetal alcohol spectrum disorder,Condition or Disease,Developmental
fibroids,Condition or Disease,Reproductive
fibromyalgia,Condition or Disease,Musculoskeletal/Pain
fish odour syndrome,Condition or Disease,Metabolic
flat head syndrome,Condition or Disease,Pediatric Cranial
flu,Condition or Disease,Infectious
folate deficiency,Condition or Disease,Nutritional
food poisoning,Condition or Disease,Infectious
glutaric aciduria,Condition or Disease,Metabolic
lambert eaton myasthenic syndrome,Condition or Disease,Neurological
liver disease,Condition or Disease,Hepatic
learning disabilities,Condition or Disease,Neurodevelopmental
shingles,Condition or Disease,Infectious (Varicella-Zoster)
sick building syndrome,Condition or Disease,Environmental
sickle cell disease,Condition or Disease,Hematological
silicosis,Condition or Disease,Respiratory
sinus cancer,Condition or Disease,Oncology
sinus infection,Condition or Disease,Respiratory/EENT
sinusitis,Condition or Disease,EENT
sjogren syndrome,Condition or Disease,Autoimmune
skin cancer,Condition or Disease,Oncology
sexually transmitted infection,Condition or Disease,Infectious
slapped cheek syndrome,Condition or Disease,Infectious (Parvovirus)
stevens johnson syndrome,Condition or Disease,Severe Skin/Mucosal
stillbirth,Condition or Disease,Obstetric
stomach cancer,Condition or Disease,Oncology
stomach ulcer,Condition or Disease,Gastrointestinal
strep a,Condition or Disease,Infectious
stroke,Condition or Disease,Neurological
subarachnoid haemorrhage,Condition or Disease,Neurological
subdural haematoma,Condition or Disease,Neurological
sudden infant death syndrome,Condition or Disease,Pediatric
steroid misuse,Condition or Disease,Substance Use
syphilis,Condition or Disease,Infectious (STI)
septicaemia,Condition or Disease,Infectious
sepsis,Condition or Disease,Infectious
polycystic ovary syndrome,Condition or Disease,Reproductive
polyhydramnios,Condition or Disease,Obstetric
polymyalgia rheumatica,Condition or Disease,Autoimmune
popliteal cyst,Condition or Disease,Musculoskeletal
post polio syndrome,Condition or Disease,Neurological
post traumatic stress disorder,Condition or Disease,Mental Health
prader willi syndrome,Condition or Disease,Genetic
pre eclampsia,Condition or Disease,Obstetric
pregnancy,Condition or Disease,Obstetric
septic arthritis,Condition or Disease,Infectious/Joint
primary biliary cholangitis,Condition or Disease,Hepatic
prostate cancer,Condition or Disease,Oncology
prostate enlargement,Condition or Disease,Genitourinary
prostatitis,Condition or Disease,Genitourinary
scarlet fever,Condition or Disease,Infectious
schistosomiasis,Condition or Disease,Parasitic
schizophrenia,Condition or Disease,Mental Health
scleroderma,Condition or Disease,Autoimmune
scurvy,Condition or Disease,Nutritional/Vitamin C
seasonal affective disorder,Condition or Disease,Mental Health
progressive supranuclear palsy,Condition or Disease,Neurological
tapeworm,Condition or Disease,Parasitic
tay sachs disease,Condition or Disease,Genetic
tb (tuberculosis),Condition or Disease,Infectious
undescended testicles,Condition or Disease,Reproductive
urethritis,Condition or Disease,Genitourinary
urinary tract infections,Condition or Disease,Infectious
uterine cancer,Condition or Disease,Oncology
uti (urinary tract infection),Condition or Disease,Infectious
uveitis,Condition or Disease,EENT
vaginal cancer,Condition or Disease,Oncology
vascular dementia,Condition or Disease,Neurological
vasculitis,Condition or Disease,Autoimmune
underactive thyroid,Condition or Disease,Endocrine
vestibular neuritis,Condition or Disease,EENT/Neurological
von willebrand disease,Condition or Disease,Hematological
vulval cancer,Condition or Disease,Oncology
weil disease,Condition or Disease,Infectious (Leptospira)
whitlow finger (herpetic whitlow),Condition or Disease,Infectious
whooping cough,Condition or Disease,Infectious
wolff parkinson white syndrome,Condition or Disease,Cardiovascular
womb cancer,Condition or Disease,Oncology
worms in humans,Condition or Disease,Parasitic
yellow fever,Condition or Disease,Infectious
vestibular schwannoma,Condition or Disease,Neurological Tumor
ulcerative colitis,Condition or Disease,Gastrointestinal
typhus,Condition or Disease,Infectious
typhoid fever,Condition or Disease,Infectious
temporal arteritis,Condition or Disease,Vascular/Autoimmune
testicular cancer,Condition or Disease,Oncology
tetanus,Condition or Disease,Infectious
thalassaemia,Condition or Disease,Hematological
threadworms,Condition or Disease,Parasitic
thyroid cancer,Condition or Disease,Oncology
tia (transient ischaemic attack),Condition or Disease,Neurological
tick borne encephalitis,Condition or Disease,Infectious
tongue tie,Condition or Disease,Oral
tonsillitis,Condition or Disease,EENT
tourette syndrome,Condition or Disease,Neurological
toxic shock syndrome,Condition or Disease,Infectious
toxocariasis,Condition or Disease,Parasitic
toxoplasmosis,Condition or Disease,Parasitic
transient ischaemic attack,Condition or Disease,Neurological
trichomoniasis,Condition or Disease,Infectious (STI)
trimethylaminuria,Condition or Disease,Metabolic
trisomy 18 (edward syndrome),Condition or Disease,Genetic
tuberculosis,Condition or Disease,Infectious
tuberous sclerosis,Condition or Disease,Genetic
turner syndrome,Condition or Disease,Genetic
polycystic kidney disease,Condition or Disease,Renal
laryngeal cancer,Condition or Disease,Oncology
polio,Condition or Disease,Infectious
pneumonia,Condition or Disease,Respiratory
japanese encephalitis,Condition or Disease,Infectious
joint hypermobility syndrome,Condition or Disease,Musculoskeletal
kawasaki disease,Condition or Disease,Pediatric/Autoimmune
kidney cancer,Condition or Disease,Oncology
kidney failure,Condition or Disease,Renal
kidney infection,Condition or Disease,Infectious (Pyelonephritis)
kidney stones,Condition or Disease,Renal
klinefelter syndrome,Condition or Disease,Genetic
labial fusion,Condition or Disease,Reproductive
measle (measles),Condition or Disease,Infectious
labyrinthitis,Condition or Disease,EENT
laryngeal cancer,Condition or Disease,Oncology
learning disabilities,Condition or Disease,Neurodevelopmental
legionnaire disease,Condition or Disease,Infectious
leptospirosis,Condition or Disease,Infectious
leukaemia,Condition or Disease,Oncology
lipoedema,Condition or Disease,Adipose
lipoma,Condition or Disease,Benign Tumor
listeriosis,Condition or Disease,Infectious
liver cancer,Condition or Disease,Oncology
lambert eaton myasthenic syndrome,Condition or Disease,Neurological
liver disease,Condition or Disease,Hepatic
mcadd (medium chain acyl coa dehydrogenase deficiency),Condition or Disease,Metabolic
mastocytosis,Condition or Disease,Immune
legionnaire disease,Condition or Disease,Infectious
leptospirosis,Condition or Disease,Infectious
leukaemia,Condition or Disease,Oncology
lipoedema,Condition or Disease,Adipose
lipoma,Condition or Disease,Benign Tumor
listeriosis,Condition or Disease,Infectious
liver cancer,Condition or Disease,Oncology
compartment syndrome,Condition or Disease,Musculoskeletal
long qt syndrome,Condition or Disease,Cardiac Electrophysiology
mastoiditis,Condition or Disease,EENT
lung cancer,Condition or Disease,Oncology
lyme disease,Condition or Disease,Infectious
macular degeneration,Condition or Disease,EENT
macular hole,Condition or Disease,EENT
malaria,Condition or Disease,Infectious
malignant brain tumour,Condition or Disease,Oncology
malnutrition,Condition or Disease,Nutritional
maple syrup urine disease,Condition or Disease,Metabolic
marfan syndrome,Condition or Disease,Genetic
mastitis,Condition or Disease,Infection/Breast
lupus,Condition or Disease,Autoimmune
long qt syndrome,Condition or Disease,Cardiac Electrophysiology
lung cancer,Condition or Disease,Oncology
lupus,Condition or Disease,Autoimmune
polyhydramnios,Condition or Disease,Obstetric
polymyalgia rheumatica,Condition or Disease,Autoimmune
popliteal cyst,Condition or Disease,Musculoskeletal
post polio syndrome,Condition or Disease,Neurological
post traumatic stress disorder,Condition or Disease,Mental Health
prader willi syndrome,Condition or Disease,Genetic
pre eclampsia,Condition or Disease,Obstetric
pregnancy,Condition or Disease,Obstetric
primary biliary cholangitis,Condition or Disease,Hepatic
polycystic ovary syndrome,Condition or Disease,Reproductive
progressive supranuclear palsy,Condition or Disease,Neurological
prostate enlargement,Condition or Disease,Genitourinary
prostatitis,Condition or Disease,Genitourinary
peyronie disease,Condition or Disease,Penile Curvature
phaeochromocytoma,Condition or Disease,Endocrine
phenylketonuria,Condition or Disease,Metabolic
piles,Condition or Disease,Anorectal
pilonidal sinus,Condition or Disease,Anorectal
plagiocephaly,Condition or Disease,Cranial Deformity
pleurisy,Condition or Disease,Respiratory
prostate cancer,Condition or Disease,Oncology
polycystic kidney disease,Condition or Disease,Renal
polio,Condition or Disease,Infectious
poisoning,Condition or Disease,Toxicology
lyme disease,Condition or Disease,Infectious
macular degeneration,Condition or Disease,EENT
macular hole,Condition or Disease,EENT
malaria,Condition or Disease,Infectious
malignant brain tumour,Condition or Disease,Oncology
malnutrition,Condition or Disease,Nutritional
maple syrup urine disease,Condition or Disease,Metabolic
marfan syndrome,Condition or Disease,Genetic
mastitis,Condition or Disease,Infection/Breast
mastocytosis,Condition or Disease,Immune
mastoiditis,Condition or Disease,EENT
mcadd (medium chain acyl coa dehydrogenase deficiency),Condition or Disease,Metabolic
measle (measles),Condition or Disease,Infectious
peyronie disease,Condition or Disease,Penile Curvature
phaeochromocytoma,Condition or Disease,Endocrine
phenylketonuria,Condition or Disease,Metabolic
piles,Condition or Disease,Anorectal
pilonidal sinus,Condition or Disease,Anorectal
plagiocephaly,Condition or Disease,Cranial Deformity
pleurisy,Condition or Disease,Respiratory
pneumonia,Condition or Disease,Respiratory
poisoning,Condition or Disease,Toxicology
common cold,Condition or Disease,Infectious
hodgkin lymphoma,Condition or Disease,Oncology
zika virus,Condition or Disease,Infectious
cholera,Condition or Disease,Infectious
alcohol related liver disease,Condition or Disease,Hepatic
cholecystitis,Condition or Disease,Biliary
cholangiocarcinoma,Condition or Disease,Oncology
chlamydia,Condition or Disease,Infectious
alkaptonuria,Condition or Disease,Metabolic
allergic rhinitis,Condition or Disease,Allergy
children flu,Condition or Disease,Infectious
childhood cataracts,Condition or Disease,EENT
allergies,Condition or Disease,Allergy
chickenpox,Condition or Disease,Infectious
chiari malformation,Condition or Disease,Neurological
chest infection,Condition or Disease,Respiratory
altitude sickness,Condition or Disease,Environmental
charles bonnet syndrome,Condition or Disease,EENT/Neurological
charcot marie tooth disease,Condition or Disease,Neurological
alzheimer,Condition or Disease,Neurological/Dementia
cancer,Condition or Disease,Oncology
amniotic fluid,Condition or Disease,Obstetric
carbon monoxide poisoning,Condition or Disease,Toxicology
carcinoid syndrome,Condition or Disease,Oncology
cardiac attack (heart attack),Condition or Disease,Cardiovascular
cardiomyopathy,Condition or Disease,Cardiovascular
cholesteatoma,Condition or Disease,EENT
cardiovascular disease,Condition or Disease,Cardiovascular
cataracts,Condition or Disease,EENT
cavernoma,Condition or Disease,Neurological/Vascular
cavernous sinus thrombosis,Condition or Disease,Neurological/Vascular
cerebral palsy,Condition or Disease,Neurological
cervical cancer,Condition or Disease,Oncology
cervical spondylosis,Condition or Disease,Musculoskeletal
carpal tunnel syndrome,Condition or Disease,Neurological/Orthopedic
amyloidosis,Condition or Disease,Metabolic
choriocarcinoma,Condition or Disease,Oncology
chronic kidney disease,Condition or Disease,Renal
charcot marie tooth disease,Condition or Disease,Neurological
acute cholecystitis,Condition or Disease,Biliary
acute kidney injury,Condition or Disease,Renal
acute lymphoblastic leukaemia,Condition or Disease,Oncology
acute myeloid leukaemia,Condition or Disease,Oncology
cervical spondylosis,Condition or Disease,Musculoskeletal
acute pancreatitis,Condition or Disease,Gastrointestinal
cervical cancer,Condition or Disease,Oncology
cerebral palsy,Condition or Disease,Neurological
acute respiratory distress syndrome,Condition or Disease,Respiratory
cavernous sinus thrombosis,Condition or Disease,Neurological/Vascular
addison disease,Condition or Disease,Endocrine
cavernoma,Condition or Disease,Neurological/Vascular
adenomyosis,Condition or Disease,Reproductive
cataracts,Condition or Disease,EENT
age related cataracts,Condition or Disease,EENT
age related macular degeneration,Condition or Disease,EENT
chronic lymphocytic leukaemia,Condition or Disease,Oncology
chronic myeloid leukaemia,Condition or Disease,Oncology
alcohol poisoning,Condition or Disease,Toxicology
alcohol misuse,Condition or Disease,Substance Use
albinism,Condition or Disease,Genetic
cancer,Condition or Disease,Oncology
chronic fatigue syndrome,Condition or Disease,Neurological/Multisystem
carbon monoxide poisoning,Condition or Disease,Toxicology
cardiac attack (heart attack),Condition or Disease,Cardiovascular
cardiomyopathy,Condition or Disease,Cardiovascular
aids,Condition or Disease,Infectious/Immunologic
cardiovascular disease,Condition or Disease,Cardiovascular
carpal tunnel syndrome,Condition or Disease,Neurological/Orthopedic
agoraphobia,Condition or Disease,Mental Health
carcinoid syndrome,Condition or Disease,Oncology
charles bonnet syndrome,Condition or Disease,EENT/Neurological
anabolic steroid misuse,Condition or Disease,Substance Use
brugada syndrome,Condition or Disease,Cardiovascular
aspergillosis,Condition or Disease,Infectious
bone cyst,Condition or Disease,Skeletal
bone cancer,Condition or Disease,Oncology
asphyxia,Condition or Disease,Respiratory
asthma,Condition or Disease,Respiratory
blood poisoning,Condition or Disease,Infectious (Sepsis)
atherosclerosis,Condition or Disease,Cardiovascular
atracheo oesophageal fistula,Condition or Disease,Congenital
atrial fibrillation,Condition or Disease,Cardiovascular
attention deficit hyperactivity disorder,Condition or Disease,Mental Health/Neurodevelopmental
auditory processing disorder,Condition or Disease,Neurological
autism,Condition or Disease,Neurodevelopmental
autosomal dominant polycystic kidney disease,Condition or Disease,Renal
autosomal recessive polycystic kidney disease,Condition or Disease,Renal
avian flu,Condition or Disease,Infectious
bladder stones,Condition or Disease,Genitourinary
bladder pain syndrome,Condition or Disease,Genitourinary
benign brain tumour,Condition or Disease,Neurological Tumor
benign prostate enlargement,Condition or Disease,Genitourinary
bent penis,Condition or Disease,Penile Deformity
bile duct cancer,Condition or Disease,Oncology
bilharzia,Condition or Disease,Parasitic
behcet disease,Condition or Disease,Autoimmune
asperger,Condition or Disease,Neurodevelopmental
bipolar disorder,Condition or Disease,Mental Health
bird flu,Condition or Disease,Infectious
bartholin cyst,Condition or Disease,Reproductive
balanitis,Condition or Disease,Genitourinary
bladder cancer,Condition or Disease,Oncology
baker cyst,Condition or Disease,Musculoskeletal
bacterial vaginosis,Condition or Disease,Infectious
bedbugs,Condition or Disease,Infestation
anaemia,Condition or Disease,Hematological
bone marrow (issues),Condition or Disease,Hematological
arthritis,Condition or Disease,Musculoskeletal
brucellosis,Condition or Disease,Infectious
anal cancer,Condition or Disease,Oncology
anal fissure,Condition or Disease,Anorectal
anal fistula,Condition or Disease,Anorectal
bronchitis,Condition or Disease,Respiratory
bronchiolitis,Condition or Disease,Respiratory
bronchiectasis,Condition or Disease,Respiratory
androgen insensitivity syndrome,Condition or Disease,Genetic/Reproductive
aneurysm,Condition or Disease,Cardiovascular
angelman syndrome,Condition or Disease,Genetic
ankylosing spondylitis,Condition or Disease,Musculoskeletal
antiphospholipid syndrome,Condition or Disease,Autoimmune
breast lump,Condition or Disease,Breast
antisocial personality disorder,Condition or Disease,Mental Health
breast cancer,Condition or Disease,Oncology
breast calcifications,Condition or Disease,Imaging Finding
breast abscess,Condition or Disease,Infection
borderline personality disorder,Condition or Disease,Mental Health
botulism,Condition or Disease,Infectious
bowel cancer,Condition or Disease,Oncology
bowel polyps,Condition or Disease,Gastrointestinal
bowen disease,Condition or Disease,Skin (Precancer)
appendicitis,Condition or Disease,Gastrointestinal
asbestosis,Condition or Disease,Respiratory
brachycephaly,Condition or Disease,Cranial Formation
brain aneurysm,Condition or Disease,Neurological/Vascular
brain cancer,Condition or Disease,Oncology
brain death,Condition or Disease,Neurological
brain haemorrhage,Condition or Disease,Neurological
brain lesions,Condition or Disease,Neurological
brain tumour,Condition or Disease,Oncology
brain abscess,Condition or Disease,Neurological/Infectious
chest infection,Condition or Disease,Respiratory
bell palsy,Condition or Disease,Neurological
acromegaly,Condition or Disease,Endocrine
actinomycosis,Condition or Disease,Infectious
coeliac disease,Condition or Disease,Gastrointestinal
children flu,Condition or Disease,Infectious
choriocarcinoma,Condition or Disease,Oncology
abdominal aortic aneurysm,Condition or Disease,Cardiovascular
cirrhosis,Condition or Disease,Hepatic
achalasia,Condition or Disease,Gastrointestinal
acoustic neuroma,Condition or Disease,Neurological Tumor
chronic obstructive pulmonary disease,Condition or Disease,Respiratory
chronic myeloid leukaemia,Condition or Disease,Oncology
chronic fatigue syndrome,Condition or Disease,Neurological/Multisystem
cleft lip,Condition or Disease,Congenital
chlamydia,Condition or Disease,Infectious
club foot,Condition or Disease,Congenital Orthopedic
clostridium difficile infection,Condition or Disease,Infectious
abortion,Condition or Disease,Obstetric
cholesteatoma,Condition or Disease,EENT
chronic lymphocytic leukaemia,Condition or Disease,Oncology
chronic kidney disease,Condition or Disease,Renal
cholangiocarcinoma,Condition or Disease,Oncology
cholera,Condition or Disease,Infectious
childhood cataracts,Condition or Disease,EENT
chronic traumatic encephalopathy,Condition or Disease,Neurological
cholecystitis,Condition or Disease,Biliary
chiari malformation,Condition or Disease,Neurological
chickenpox,Condition or Disease,Infectious
colon cancer,Condition or Disease,Oncology
chronic pancreatitis,Condition or Disease,Gastrointestinal
tooth knocked out,Dental & Oral,Avulsion
chipped tooth,Dental & Oral,Fracture
toothache,Dental & Oral,Pain
gum swelling,Dental & Oral,Gingival Swelling
bad breath,Dental & Oral,Halitosis
halitosis,Dental & Oral,Bad Breath
teeth grinding,Dental & Oral,Bruxism
bruised tooth,Dental & Oral,Injury
chipped tooth,Dental & Oral,Fracture
bleeding gums,Dental & Oral,Gum Symptom
false teeth,Dental & Oral,Dentures
yellow tongue,Dental & Oral,Tongue Discoloration
tooth decay,Dental & Oral,Caries
dental abscess,Dental & Oral,Infection
xerostomia,Dental & Oral,Dry Mouth
knocked out tooth,Dental & Oral,Avulsion
dry mouth,Dental & Oral,Xerostomia
bruxism,Dental & Oral,Teeth Grinding
bruxism,Dental & Oral,Teeth Grinding
dental pain,Dental & Oral,Odontalgia
broken tooth,Dental & Oral,Fracture
breath odor,Dental & Oral,Halitosis
knocked out tooth,Dental & Oral,Avulsion
bitterness in mouth,Dental & Oral,Taste Disturbance
cracked tooth,Dental & Oral,Injury
gum disease,Dental & Oral,Periodontal
dentures,Dental & Oral,Prosthetic
gingival bleeding,Dental & Oral,Bleeding Gums
white tongue,Dental & Oral or GI,Tongue Coating
thrush,Dental & Oral or Reproductive,Fungal
amblyopia,EENT,Visual Impairment
dry eyes,EENT,Ocular Dryness
long sightedness,EENT,Hyperopia
hearing distortion,EENT,Hearing Disturbance
floaters in the eyes,EENT,Visual Phenomena
floaters and flashes in the eyes,EENT,Visual Phenomena
eardrum burst,EENT,Injury
bulging eyes,EENT,Exophthalmos
detached retina,EENT,Retinal Detachment
dry eye,EENT,Ocular Dryness
long sightedness,EENT,Hyperopia
postnasal drip,EENT,Nasal
sensitivity to glare,EENT,Light Sensitivity
throat tightness,EENT,Constriction
throat irritation,EENT,Irritation
